n,teste,stat,p,shapiro_p,normal,modelo
150,wilcoxon,1.5,1.0,3.47111180866981e-26,False,claude-3-haiku-20240307
150,wilcoxon,6.0,0.6547208460185769,5.788966741566849e-25,False,gpt-4o-mini
