rodada,media_diff,mediana_diff,std_diff,mae,rmse,corr,n_atividades
1,-0.4,0.0,0.5556301217669585,0.4533333333333333,0.6831300510639732,0.5237039466569954,150
2,-0.4066666666666667,0.0,0.5687224192491444,0.46,0.697614984548545,0.48986559282896125,150
