,metricas_concordancia
pearson_r,0.5167058805534809
pearson_p,1.2988718854726078e-11
spearman_rho,0.48969460499616996
spearman_p,2.0231806942077638e-10
ICC_2_1,0.3090615962503738
cohen_kappa_weighted,0.3747105141269106
concordancia_exata,0.5333333333333333
concordancia_tol_0_5,0.5733333333333334
concordancia_tol_1_0,0.9866666666666667
