rodada,count,mean,median,mode,min,max,amplitude,var,std,cv,q1,q3,iqr
1,300.0,1.6133333333333333,2.0,2.0,0.0,3.0,3.0,0.34497212931995536,0.587343280645957,0.3640557524665023,1.0,2.0,1.0
2,300.0,1.61,2.0,2.0,0.0,3.0,3.0,0.33903010033444814,0.5822629134115002,0.3616539834854038,1.0,2.0,1.0
