modelo,count,mean,median,mode,min,max,amplitude,var,std,cv,q1,q3,iqr
claude-3-haiku-20240307,300.0,1.8133333333333332,2.0,2.0,1.0,3.0,2.0,0.19915273132664438,0.44626531494912797,0.2461021957440044,2.0,2.0,0.0
gpt-4o-mini,300.0,1.41,1.0,1.0,0.0,3.0,3.0,0.40324414715719065,0.6350150763227521,0.4503653023565618,1.0,2.0,1.0
